sentence_id,sentence,entity1,entity1_start,entity1_end,entity1_type,entity2,entity2_start,entity2_end,entity2_type,relation_type
32,"Recreational craft follow waste protocols",Recreational craft,0,16,SYSTEM,waste protocols,27,39,PROCEDURES,COMPLY_WITH
33,"Sludge disposal requires special permits",Sludge disposal,0,13,DISPOSAL,special permits,24,36,DOCUMENTS,REQUIRED
34,"Authority reviews waste management plans",Authority,0,9,AUTHORITIES,waste management plans,20,37,DOCUMENTS,MONITORS
35,"Cargo tanks must be cleaned properly",Cargo tanks,0,10,EQUIPMENT,proper cleaning,21,33,PROCEDURES,REQUIRED
36,"Annual reports include violation data",Annual reports,0,12,DOCUMENTS,violation data,22,34,DOCUMENTS,HAVE
37,"Authority coordinates with police during inspections",Authority,0,9,AUTHORITIES,police coordination,23,37,AUTHORITIES,RELATED_TO
38,"Ballast water treatment follows standards",Ballast water treatment,0,20,PROCEDURES,standards,31,39,DOCUMENTS,COMPLY_WITH
39,"Port operators maintain facility capacity",Port operators,0,12,SUBJECT REGULATED,facility capacity,26,40,SPECIFICATION,MANAGES
40,"Toxic waste storage needs containment systems",Toxic waste storage,0,17,POLLUTANT,containment systems,28,43,EQUIPMENT,REQUIRED
41,"Authority approves facility locations",Authority,0,9,AUTHORITIES,facility locations,20,35,SPECIFICATION,REGULATES
42,"Ships carry waste declaration forms",Ships,0,5,SYSTEM,waste declaration forms,16,33,DOCUMENTS,HAVE
43,"MARPOL Annex-IV governs effluent discharge",MARPOL Annex-IV,0,12,DOCUMENTS,effluent discharge,23,37,DISPOSAL,REGULATES
44,"Terminal operators train staff on protocols",Terminal operators,0,15,SUBJECT REGULATED,staff training,23,35,PROCEDURES,IMPLEMENT
45,"Bilge monitoring prevents pollution",Bilge monitoring,0,13,PROCEDURES,pollution prevention,24,39,ACTIVITIES,RESTRICT
46,"Authority sets waste storage standards",Authority,0,9,AUTHORITIES,waste storage standards,20,37,SPECIFICATION,EXTABLISHED
47,"Cargo residue handling requires PPE",Cargo residue handling,0,19,PROCEDURES,PPE,30,33,EQUIPMENT,REQUIRED
48,"Annual facility audits ensure compliance",Annual facility audits,0,18,PROCEDURES,compliance,30,39,DOCUMENTS,MONITORS
49,"Authority restricts plastic disposal",Authority,0,9,AUTHORITIES,plastic disposal,20,33,DISPOSAL,RESTRICT
50,"Port fees fund environmental initiatives",Port fees,0,8,PENALTIES,environmental initiatives,18,36,ACTIVITIES,IMPLEMENT
51,"Waste reception ships need certification",Waste reception ships,0,19,SYSTEM,certification,30,41,DOCUMENTS,REQUIRED
52,"MARPOL Annex-VI regulates air emissions",MARPOL Annex-VI,0,13,DOCUMENTS,air emissions,24,35,POLLUTANT,REGULATES
53,"Authority inspects waste transport vehicles",Authority,0,9,AUTHORITIES,waste transport vehicles,20,37,EQUIPMENT,MONITORS
54,"Terminal operators manage waste segregation",Terminal operators,0,15,SUBJECT REGULATED,waste segregation,23,36,PROCEDURES,MANAGES
55,"Oil spill response plans are mandatory",Oil spill response plans,0,20,DOCUMENTS,mandatory status,31,44,REQUIREMENTS,REQUIRED
56,"Authority approves exemption requests",Authority,0,9,AUTHORITIES,exemption requests,20,35,DOCUMENTS,REGULATES
57,"Ships maintain waste storage logs",Ships,0,5,SYSTEM,waste storage logs,16,30,DOCUMENTS,HAVE
58,"Port operators display fee schedules",Port operators,0,12,SUBJECT REGULATED,fee schedules,23,34,DOCUMENTS,HAVE
59,"Hazardous waste labels must be visible",Hazardous waste labels,0,19,DOCUMENTS,visibility requirements,30,47,REQUIREMENTS,COMPLY_WITH
60,"Authority enforces detention protocols",Authority,0,9,AUTHORITIES,detention protocols,20,35,PROCEDURES,IMPLEMENT
61,"Waste analysis requires lab certification",Waste analysis,0,12,PROCEDURES,lab certification,23,37,DOCUMENTS,REQUIRED
62,"MARPOL Annex-I covers oil pollution",MARPOL Annex-I,0,11,DOCUMENTS,oil pollution,22,33,POLLUTANT,REGULATES
63,"Terminal operators schedule waste pickups",Terminal operators,0,15,SUBJECT REGULATED,waste pickups,23,34,PROCEDURES,IMPLEMENT
64,"Bilge alarms monitor pollution levels",Bilge alarms,0,10,EQUIPMENT,pollution levels,21,34,SPECIFICATION,MONITORS
65,"Authority publishes compliance guidelines",Authority,0,9,AUTHORITIES,compliance guidelines,20,37,DOCUMENTS,GENERATES
66,"Cargo holds require post-unload cleaning",Cargo holds,0,11,EQUIPMENT,post-unload cleaning,22,37,PROCEDURES,REQUIRED
67,"Annual training covers waste procedures",Annual training,0,13,ACTIVITIES,waste procedures,24,38,PROCEDURES,HAVE
68,"Authority restricts night waste deliveries",Authority,0,9,AUTHORITIES,night waste deliveries,20,36,ACTIVITIES,RESTRICT
69,"Port operators maintain emergency protocols",Port operators,0,12,SUBJECT REGULATED,emergency protocols,23,38,PROCEDURES,HAVE
70,"Waste manifests accompany all shipments",Waste manifests,0,12,DOCUMENTS,shipments,30,39,ACTIVITIES,APPLY_TO
71,"MARPOL certificates must be current",MARPOL certificates,0,15,DOCUMENTS,current status,26,38,REQUIREMENTS,REQUIRED
72,"Authority audits waste management systems",Authority,0,9,AUTHORITIES,waste management systems,20,39,SYSTEM,MONITORS
73,"Terminal operators report facility upgrades",Terminal operators,0,15,SUBJECT REGULATED,facility upgrades,23,37,DOCUMENTS,GENERATES
74,"Bilge water sampling follows strict protocols",Bilge water sampling,0,18,PROCEDURES,strict protocols,30,44,REQUIREMENTS,COMPLY_WITH
75,"Authority coordinates regional enforcement",Authority,0,9,AUTHORITIES,regional enforcement,23,38,ACTIVITIES,RELATED_TO
76,"Waste containers require UN certification",Waste containers,0,15,EQUIPMENT,UN certification,26,38,DOCUMENTS,REQUIRED
77,"MARPOL training is mandatory for crews",MARPOL training,0,12,PROCEDURES,crews,23,28,SUBJECT REGULATED,REQUIRED
78,"Port operators maintain spill response kits",Port operators,0,12,SUBJECT REGULATED,spill response kits,23,38,EQUIPMENT,HAVE
79,"Authority reviews exemption applications",Authority,0,9,AUTHORITIES,exemption applications,20,37,DOCUMENTS,MONITORS
80,"Cargo residue analysis determines disposal",Cargo residue analysis,0,19,PROCEDURES,disposal methods,30,44,DISPOSAL,REGULATES
81,"Annual budgets allocate waste funds",Annual budgets,0,12,DOCUMENTS,waste funds,23,32,PENALTIES,MANAGES
82,"Authority enforces record-keeping rules",Authority,0,9,AUTHORITIES,record-keeping rules,20,35,REQUIREMENTS,IMPLEMENT
83,"Waste transfer notes must be retained",Waste transfer notes,0,17,DOCUMENTS,retention periods,28,42,REQUIREMENTS,COMPLY_WITH
84,"MARPOL compliance affects port access",MARPOL compliance,0,14,DOCUMENTS,port access,25,34,ACTIVITIES,RELATED_TO
85,"Terminal operators inspect storage areas",Terminal operators,0,15,SUBJECT REGULATED,storage areas,23,35,EQUIPMENT,MONITORS
86,"Bilge treatment systems reduce pollution",Bilge treatment systems,0,19,EQUIPMENT,pollution reduction,30,46,ACTIVITIES,RESTRICT
87,"Authority mandates waste minimization",Authority,0,9,AUTHORITIES,waste minimization,20,35,PROCEDURES,IMPLEMENT
88,"Port operators display emergency contacts",Port operators,0,12,SUBJECT REGULATED,emergency contacts,23,37,DOCUMENTS,HAVE
89,"Hazardous waste transport requires permits",Hazardous waste transport,0,22,ACTIVITIES,permits,33,39,DOCUMENTS,REQUIRED
90,"MARPOL amendments update requirements",MARPOL amendments,0,14,DOCUMENTS,updated requirements,25,40,REQUIREMENTS,ESTABLISHED
91,"Authority monitors waste disposal routes",Authority,0,9,AUTHORITIES,waste disposal routes,20,36,ACTIVITIES,MONITORS
92,"Terminal operators train on spill response",Terminal operators,0,15,SUBJECT REGULATED,spill response,23,35,PROCEDURES,IMPLEMENT
93,"Bilge water capacity affects operations",Bilge water capacity,0,17,SPECIFICATION,operations,28,37,ACTIVITIES,RELATED_TO
94,"Authority publishes penalty guidelines",Authority,0,9,AUTHORITIES,penalty guidelines,20,35,DOCUMENTS,GENERATES
95,"Waste classification determines handling",Waste classification,0,16,PROCEDURES,handling methods,27,40,PROCEDURES,REGULATES
96,"MARPOL certificates expire annually",MARPOL certificates,0,15,DOCUMENTS,annual expiration,26,40,REQUIREMENTS,REQUIRED
97,"Port operators maintain facility maps",Port operators,0,12,SUBJECT_REGULATED,facility maps,23,34,DOCUMENTS,MAINTAIN
98,"Authority restricts waste export",Authority,0,9,AUTHORITIES,waste export,20,31,ACTIVITIES,RESTRICT
99,"Terminal operators verify waste quantities",Terminal operators,0,15,SUBJECT_REGULATED,waste quantities,23,36,POLLUTANT,VERIFY
100,"Bilge alarm systems require calibration",Bilge alarm systems,0,17,EQUIPMENTS,calibration,28,37,PROCEDURES,REQUIRE
101,"MARPOL training includes emergency drills",MARPOL training,0,12,PROCEDURES,emergency drills,23,36,ACTIVITIES,INVOLVE_IN
102,"Authority coordinates with IMO",Authority,0,9,AUTHORITIES,IMO,23,26,AUTHORITIES,RELATED_TO
103,"Waste audits ensure regulatory compliance",Waste audits,0,10,PROCEDURES,regulatory compliance,21,38,DOCUMENTS,MONITORS
104,"Port operators maintain safety data sheets",Port operators,0,12,SUBJECT REGULATED,safety data sheets,23,38,DOCUMENTS,HAVE
105,"Authority enforces waste segregation rules",Authority,0,9,AUTHORITIES,waste segregation rules,20,37,REQUIREMENTS,IMPLEMENT
106,"Terminal operators schedule facility maintenance",Terminal operators,0,15,SUBJECT REGULATED,facility maintenance,23,40,PROCEDURES,CARRY_OUT
107,"Bilge water analysis detects contaminants",Bilge water analysis,0,18,PROCEDURES,contaminants,29,41,POLLUTANT,GENERATES
108,"MARPOL compliance requires documentation",MARPOL compliance,0,14,DOCUMENTS,documentation,25,36,DOCUMENTS,REQUIRED
109,"Authority reviews facility performance",Authority,0,9,AUTHORITIES,facility performance,20,35,DOCUMENTS,MONITORS
110,"Waste transportation follows strict routes",Waste transportation,0,17,ACTIVITIES,strict routes,28,38,SPECIFICATION,FOLLOW
111,"A shipper must classify doubtful dangerous goods via approved authority",shipper,2,9,SUBJECT_REGULATED,dangerous goods,34,48,POLLUTANT,REQUIRED
112,"IMDG Code dictates packaging for irradiated nuclear fuel",IMDG Code,0,8,DOCUMENTS,irradiated nuclear fuel,31,50,POLLUTANT,REGULATES
113,"Masters must notify authorities of packaged goods loss",Masters,0,7,SUBJECT_REGULATED,packaged goods loss,26,42,ACTIVITIES,REPORT
114,"Bulk cargoes require IBC Code compliance",Bulk cargoes,0,12,POLLUTANT,IBC Code,26,34,DOCUMENTS,COMPLY_WITH
115,"Authority inspects explosive stowage pre-loading",Authority,0,9,AUTHORITIES,explosive stowage,24,38,SPECIFICATION,MONITORS
116,"Employees must report safety violations",Employees,0,9,SUBJECT_REGULATED,safety violations,22,37,PENALTIES,REPORT
117,"Gas Carrier Code applies to liquefied gases",Gas Carrier Code,0,14,DOCUMENTS,liquefied gases,26,40,POLLUTANT,APPLY_TO
118,"Shipper provides UN numbers for dangerous substances",Shipper,0,7,SUBJECT_REGULATED,UN numbers,18,26,SPECIFICATION,PROVIDE
119,"Flammable liquids need flash point documentation",Flammable liquids,0,15,POLLUTANT,flash point documentation,21,40,DOCUMENTS,REQUIRED
120,"BCH Code governs chemical carrier construction",BCH Code,0,8,DOCUMENTS,chemical carrier construction,20,40,SPECIFICATION,REGULATES
121,"Masters verify dangerous goods declarations",Masters,0,7,SUBJECT_REGULATED,dangerous goods declarations,21,41,DOCUMENTS,VERIFY
122,"Authority issues document of compliance",Authority,0,9,AUTHORITIES,document of compliance,20,37,DOCUMENTS,GENERATES
123,"Packaging must withstand three-month immersion",Packaging,0,9,SPECIFICATION,three-month immersion,23,39,SPECIFICATION,REQUIRED
124,"Bulk cargo documentation includes stowage plans",Bulk cargo documentation,0,20,DOCUMENTS,stowage plans,32,44,SPECIFICATION,HAVE
125,"Surveyors inspect dangerous goods loading",Surveyors,0,9,AUTHORITIES,dangerous goods loading,23,40,ACTIVITIES,MONITORS
126,"Radioactive materials require special closure",Radioactive materials,0,18,POLLUTANT,special closure,28,40,SPECIFICATION,REQUIRED
127,"Port authorities receive waste notification forms",Port authorities,0,14,AUTHORITIES,waste notification forms,28,46,DOCUMENTS,GENERATES
128,"MARPOL certificates must accompany shipments",MARPOL certificates,0,16,DOCUMENTS,shipments,27,36,ACTIVITIES,APPLY_TO
129,"Toxic substances demand segregation",Toxic substances,0,15,POLLUTANT,segregation,25,35,SPECIFICATION,REQUIRED
130,"Authority compiles waste quantity reports",Authority,0,9,AUTHORITIES,waste quantity reports,20,36,DOCUMENTS,GENERATES
131,"Cargo residues fall under MARPOL Annex-V",Cargo residues,0,13,POLLUTANT,MARPOL Annex-V,27,40,DOCUMENTS,REGULATES
132,"Sewage discharge violates environmental standards",Sewage discharge,0,14,POLLUTANT,environmental standards,28,46,DOCUMENTS,RESTRICT
133,"Terminal operators display fee schedules",Terminal operators,0,15,SUBJECT_REGULATED,fee schedules,23,34,DOCUMENTS,HAVE
134,"Intermediate flashpoint group includes liquids with flashpoint -18°C to 23°C",Intermediate flashpoint group,0,25,SPECIFICATION,liquids,46,52,POLLUTANT,INCLUDE
135,"High flashpoint group covers liquids with flashpoint 23°C to 61°C",High flashpoint group,0,19,SPECIFICATION,liquids,37,43,POLLUTANT,COVER
136,"Flammable solids classified under Class 4.1",Flammable solids,0,14,POLLUTANT,Class 4.1,28,36,CLASSIFICATION,REGULATES
137,"Substances liable to spontaneous combustion fall under Class 4.2",Substances liable to spontaneous combustion,0,34,POLLUTANT,Class 4.2,48,56,CLASSIFICATION,REGULATES
138,"Water-reactive substances emitting flammable gases categorized under Class 4.3",Water-reactive substances,0,22,POLLUTANT,Class 4.3,59,67,CLASSIFICATION,REGULATES
139,"Oxidising substances regulated under Class 5.1",Oxidising substances,0,19,POLLUTANT,Class 5.1,33,41,CLASSIFICATION,REGULATES
140,"Organic peroxides governed by Class 5.2",Organic peroxides,0,15,POLLUTANT,Class 5.2,29,37,CLASSIFICATION,REGULATES
141,"Toxic substances controlled under Class 6.1",Toxic substances,0,15,POLLUTANT,Class 6.1,31,39,CLASSIFICATION,REGULATES
142,"Infectious substances monitored under Class 6.2",Infectious substances,0,19,POLLUTANT,Class 6.2,33,41,CLASSIFICATION,MONITORS
143,"Radioactive materials regulated by Class 7",Radioactive materials,0,18,POLLUTANT,Class 7,32,39,CLASSIFICATION,REGULATES
144,"Corrosives governed by Class 8",Corrosives,0,10,POLLUTANT,Class 8,24,31,CLASSIFICATION,REGULATES
145,"Miscellaneous dangerous substances fall under Class 9",Miscellaneous dangerous substances,0,29,POLLUTANT,Class 9,43,50,CLASSIFICATION,REGULATES
146,"Authority serves notice for oil pollution violations",Authority,0,9,AUTHORITIES,oil pollution violations,23,42,PENALTIES,MANAGES
147,"Shipboard oil pollution emergency plans required",Shipboard oil pollution emergency plans,0,32,DOCUMENTS,ships,41,46,SYSTEM,REQUIRED
148,"Power to inspect granted for pollution prevention",Power to inspect,0,13,AUTHORITIES,pollution prevention,23,41,PROCEDURES,IMPLEMENT
149,"Power to deny entry applies to polluting ships",Power to deny entry,0,17,AUTHORITIES,polluting ships,28,40,SYSTEM,APPLY_TO
150,"Detention powers cover environmental violations",Detention powers,0,15,AUTHORITIES,environmental violations,27,46,PENALTIES,MANAGES
151,"Suspension of proceedings possible at flag state request",Suspension of proceedings,0,20,PROCEDURES,flag state request,33,49,REQUIREMENTS,REQUIRED
152,"Compounding of offences handled by Authority",Compounding of offences,0,19,PROCEDURES,Authority,32,41,AUTHORITIES,MONITORS
153,"Annex I regulates oil pollution prevention",Annex I,0,7,DOCUMENTS,oil pollution prevention,18,36,PROCEDURES,REGULATES
154,"IOPP Certificate establishes compliance",IOPP Certificate,0,13,DOCUMENTS,compliance,27,36,DOCUMENTS,EXTABLISHED
155,"Breadth measurement follows specific guidelines",Breadth measurement,0,16,SPECIFICATION,guidelines,31,40,DOCUMENTS,FOLLOW
156,"Central tank design prevents oil spills",Central tank,0,12,SPECIFICATION,oil spills,28,37,POLLUTANT,RESTRICT
157,"Release of harmful substances restricted",Release of harmful substances,0,24,POLLUTANT,restricted,38,47,PENALTIES,RESTRICT
158,"Dumping regulations exclude certain activities",Dumping regulations,0,16,DOCUMENTS,certain activities,27,41,ACTIVITIES,RESTRICT
159,"Offshore processing releases governed separately",Offshore processing releases,0,23,POLLUTANT,governed,34,42,DOCUMENTS,REGULATES
160,"Registrar of Ships grants exemptions",Registrar of Ships,0,17,AUTHORITIES,exemptions,28,38,DOCUMENTS,GENERATES
161,"Equivalent standards accepted by Authority",Equivalent standards,0,17,SPECIFICATION,Authority,30,39,AUTHORITIES,MONITORS
162,"Oil Record Book maintains discharge data",Oil Record Book,0,14,DOCUMENTS,discharge data,25,37,DOCUMENTS,HAVE
163,"Surveys verify compliance status",Surveys,0,7,PROCEDURES,compliance status,18,31,DOCUMENTS,MONITORS
164,"Certificates document regulatory adherence",Certificates,0,11,DOCUMENTS,regulatory adherence,22,39,DOCUMENTS,HAVE
165,"Offshore installations follow special requirements",Offshore installations,0,19,SYSTEM,special requirements,30,47,SPECIFICATION,FOLLOW
166,"Emergency plans address pollution incidents",Emergency plans,0,14,PROCEDURES,pollution incidents,25,41,ACTIVITIES,INVOLVE_IN
167,"Inspection powers ensure regulatory compliance",Inspection powers,0,16,AUTHORITIES,regulatory compliance,27,46,DOCUMENTS,MONITORS
168,"Entry denial prevents environmental damage",Entry denial,0,12,AUTHORITIES,environmental damage,23,40,POLLUTANT,RESTRICT
169,"Detention authority manages violations",Detention authority,0,17,AUTHORITIES,violations,28,38,PENALTIES,MANAGES
170,"Flag state requests influence proceedings",Flag state requests,0,17,REQUIREMENTS,proceedings,28,38,PROCEDURES,RELATED_TO
171,"Offence compounding reduces legal procedures",Offence compounding,0,17,PROCEDURES,legal procedures,28,41,PROCEDURES,RESTRICT
172,"Anniversary date marks certificate renewal",Anniversary date,0,15,SPECIFICATION,certificate renewal,26,40,DOCUMENTS,EXTABLISHED
173,"Amidships measurement determines stability",Amidships measurement,0,18,SPECIFICATION,stability,29,37,SPECIFICATION,REQUIRED
174,"Tank configuration affects oil containment",Tank configuration,0,17,SPECIFICATION,oil containment,28,40,SPECIFICATION,RELATED_TO
175,"Harmful substance release triggers penalties",Harmful substance release,0,23,POLLUTANT,penalties,34,43,PENALTIES,GENERATES
176,"Dumping convention excludes certain discharges",Dumping convention,0,15,DOCUMENTS,certain discharges,26,40,POLLUTANT,RESTRICT
177,"Offshore exploration releases regulated differently",Offshore exploration releases,0,25,POLLUTANT,regulated,36,44,DOCUMENTS,REGULATES
178,"Authority specifies exemption terms",Authority,0,9,AUTHORITIES,exemption terms,20,32,DOCUMENTS,REQUIRED
179,"Equivalent alternatives accepted by regulations",Equivalent alternatives,0,19,SPECIFICATION,regulations,30,41,DOCUMENTS,MONITORS
180,"Oil pollution prevention requires documentation",Oil pollution prevention,0,22,PROCEDURES,documentation,33,45,DOCUMENTS,REQUIRED
181,"Survey procedures verify system integrity",Survey procedures,0,15,PROCEDURES,system integrity,26,39,SPECIFICATION,MONITORS
182,"Certificate issuance confirms compliance",Certificate issuance,0,18,PROCEDURES,compliance,29,38,DOCUMENTS,EXTABLISHED
183,"Installation requirements specify safety measures",Installation requirements,0,21,SPECIFICATION,safety measures,32,45,SPECIFICATION,REQUIRED
184,"Emergency response addresses oil spills",Emergency response,0,16,PROCEDURES,oil spills,27,36,POLLUTANT,INVOLVE_IN
185,"Inspection protocols ensure safety standards",Inspection protocols,0,18,PROCEDURES,safety standards,29,42,SPECIFICATION,REQUIRED
186,"Entry restrictions prevent environmental harm",Entry restrictions,0,16,AUTHORITIES,environmental harm,27,43,POLLUTANT,RESTRICT
187,"Detention procedures manage non-compliance",Detention procedures,0,18,PROCEDURES,non-compliance,29,41,PENALTIES,MANAGES
188,"Flag state communication influences decisions",Flag state communication,0,20,REQUIREMENTS,decisions,31,40,PROCEDURES,RELATED_TO
189,"Offence resolution reduces legal actions",Offence resolution,0,17,PROCEDURES,legal actions,28,39,PROCEDURES,RESTRICT
190,"Anniversary renewal maintains certification",Anniversary renewal,0,18,PROCEDURES,certification,29,40,DOCUMENTS,HAVE
191,"Amidships stability ensures safe operation",Amidships stability,0,17,SPECIFICATION,safe operation,28,40,ACTIVITIES,REQUIRED
192,"Tank arrangement optimizes containment",Tank arrangement,0,15,SPECIFICATION,containment,26,36,SPECIFICATION,RELATED_TO
193,"Harmful discharge triggers regulatory action",Harmful discharge,0,15,POLLUTANT,regulatory action,26,40,ACTIVITIES,GENERATES
194,"Dumping exclusion covers specific activities",Dumping exclusion,0,15,DOCUMENTS,specific activities,26,40,ACTIVITIES,COVER
195,"Offshore release regulation differs",Offshore release,0,13,POLLUTANT,regulation,24,33,DOCUMENTS,REGULATES
196,"Authority alters exemption conditions",Authority,0,9,AUTHORITIES,exemption conditions,20,34,DOCUMENTS,REQUIRED
197,"Equivalent solutions accepted by standards",Equivalent solutions,0,18,SPECIFICATION,standards,29,37,SPECIFICATION,MONITORS
198,"Oil pollution control requires monitoring",Oil pollution control,0,20,PROCEDURES,monitoring,31,40,PROCEDURES,REQUIRED
199,"Survey requirements specify inspection details",Survey requirements,0,16,SPECIFICATION,inspection details,27,41,SPECIFICATION,REQUIRED
200,"Certificate maintenance documents compliance",Certificate maintenance,0,20,PROCEDURES,compliance,31,40,DOCUMENTS,HAVE
201,"MARPOL training includes emergency drills",MARPOL training,0,12,PROCEDURES,emergency drills,23,36,ACTIVITIES,INVOLVE_IN
202,"Authority coordinates with IMO",Authority,0,9,AUTHORITIES,IMO,23,26,AUTHORITIES,RELATED_TO
203,"Waste audits ensure regulatory compliance",Waste audits,0,10,PROCEDURES,regulatory compliance,21,38,DOCUMENTS,MONITORS
204,"Port operators maintain safety data sheets",Port operators,0,12,SUBJECT REGULATED,safety data sheets,23,38,DOCUMENTS,HAVE
205,"Authority enforces waste segregation rules",Authority,0,9,AUTHORITIES,waste segregation rules,20,37,REQUIREMENTS,IMPLEMENT
206,"Terminal operators schedule facility maintenance",Terminal operators,0,15,SUBJECT REGULATED,facility maintenance,23,40,PROCEDURES,CARRY_OUT
207,"Bilge water analysis detects contaminants",Bilge water analysis,0,18,PROCEDURES,contaminants,29,41,POLLUTANT,GENERATES
208,"MARPOL compliance requires documentation",MARPOL compliance,0,14,DOCUMENTS,documentation,25,36,DOCUMENTS,REQUIRED
209,"Authority reviews facility performance",Authority,0,9,AUTHORITIES,facility performance,20,35,DOCUMENTS,MONITORS
210,"Waste transportation follows strict routes",Waste transportation,0,17,ACTIVITIES,strict routes,28,38,SPECIFICATION,FOLLOW
211,"A shipper must classify doubtful dangerous goods via approved authority",shipper,2,9,SUBJECT_REGULATED,dangerous goods,34,48,POLLUTANT,REQUIRED
212,"IMDG Code dictates packaging for irradiated nuclear fuel",IMDG Code,0,8,DOCUMENTS,irradiated nuclear fuel,31,50,POLLUTANT,REGULATES
213,"Masters must notify authorities of packaged goods loss",Masters,0,7,SUBJECT_REGULATED,packaged goods loss,26,42,ACTIVITIES,REPORT
214,"Bulk cargoes require IBC Code compliance",Bulk cargoes,0,12,POLLUTANT,IBC Code,26,34,DOCUMENTS,COMPLY_WITH
215,"Authority inspects explosive stowage pre-loading",Authority,0,9,AUTHORITIES,explosive stowage,24,38,SPECIFICATION,MONITORS
216,"Employees must report safety violations",Employees,0,9,SUBJECT_REGULATED,safety violations,22,37,PENALTIES,REPORT
217,"Gas Carrier Code applies to liquefied gases",Gas Carrier Code,0,14,DOCUMENTS,liquefied gases,26,40,POLLUTANT,APPLY_TO
218,"Shipper provides UN numbers for dangerous substances",Shipper,0,7,SUBJECT_REGULATED,UN numbers,18,26,SPECIFICATION,PROVIDE
219,"Flammable liquids need flash point documentation",Flammable liquids,0,15,POLLUTANT,flash point documentation,21,40,DOCUMENTS,REQUIRED
