Entity1_True,Entity1_Pred,Entity2_True,Entity2_Pred,Relation_True,Relation_Pred
AUTHORITIES,AUTHORITIES,PROCEDURES,PROCEDURES,IMPLEMENT,IMPLEMENT
DOCUMENTS,DOCUMENTS,AUTHORITIES,AUTHORITIES,REQUIRED,REQUIRED
EQUIPMENT,EQUIPMENT,DOCUMENTS,DOCUMENTS,COMPLY_WITH,COMPLY_WITH
SYSTEM,SYSTEM,PROCEDURES,DOCUMENTS,APPLY_TO,HAVE
ACTIVITIES,ACTIVITIES,SPECIFICATION,SPECIFICATION,REQUIRED,REQUIRED
PROCEDURES,PROCEDURES,DOCUMENTS,DOCUMENTS,REQUIRED,REQUIRED
AUTHORITIES,AUTHORITIES,PROCEDURES,PROCEDURES,IMPLEMENT,IMPLEMENT
DISPOSAL,DISPOSAL,DOCUMENTS,DOCUMENTS,COMPLY_WITH,COMPLY_WITH
DISPOSAL,DISPOSAL,SYSTEM,SYSTEM,RESTRICT,RESTRICT
PROCEDURES,PROCEDURES,REQUIREMENTS,REQUIREMENTS,REQUIRED,REQUIRED
POLLUTANT,POLLUTANT,SPECIFICATION,SPECIFICATION,RELATED_TO,RELATED_TO
DOCUMENTS,DOCUMENTS,AUTHORITIES,AUTHORITIES,ESTABLISHED,ESTABLISHED
DOCUMENTS,DOCUMENTS,DOCUMENTS,DOCUMENTS,OF,OF
PROCEDURES,DOCUMENTS,DOCUMENTS,DOCUMENTS,HAVE,HAVE
SYSTEM,SYSTEM,SPECIFICATION,DOCUMENTS,FOLLOW,FOLLOW
SUBJECT REGULATED,SUBJECT REGULATED,EQUIPMENTS,EQUIPMENTS,MANAGES,MANAGES
ACTIVITIES,ACTIVITIES,SPECIFICATION,SPECIFICATION,GENERATES,GENERATES
AUTHORITIES,AUTHORITIES,DOCUMENTS,DOCUMENTS,ENSURE,ENSURE
POLLUTANT,POLLUTANT,DOCUMENTS,DOCUMENTS,REQUIRED,REQUIRED
PROCEDURES,PROCEDURES,PROCEDURES,PROCEDURES,REGULATES,REGULATES
ACTIVITIES,ACTIVITIES,DOCUMENTS,DOCUMENTS,RESTRICT,RESTRICT
SUBJECT REGULATED,SUBJECT REGULATED,ACTIVITIES,ACTIVITIES,MANAGES,MANAGES
AUTHORITIES,AUTHORITIES,DOCUMENTS,DOCUMENTS,MONITOR,MONITORS
SUBJECT_REGULATED,SUBJECT_REGULATED,SPECIFICATION,SPECIFICATION,PROVIDE,PROVIDE
ACTIVITIES,PENALTIES,SPECIFICATION,SPECIFICATION,APPLY_TO,ESTABLISHED
SUBJECT REGULATED,SUBJECT REGULATED,DOCUMENTS,DOCUMENTS,GENERATES,GENERATES
PENALTIES,PENALTIES,SPECIFICATION,SPECIFICATION,PROTECT,RELATED_TO
POLLUTANT,POLLUTANT,CLASSIFICATION,CLASSIFICATION,REGULATES,REGULATES
AUTHORITIES,AUTHORITIES,POLLUTANT,POLLUTANT,RESTRICT,RESTRICT
AUTHORITIES,AUTHORITIES,DOCUMENTS,PROCEDURES,IMPLEMENT,IMPLEMENT
SPECIFICATION,SPECIFICATION,SPECIFICATION,SPECIFICATION,OF,OF
SPECIFICATION,SPECIFICATION,SPECIFICATION,SPECIFICATION,RELATED_TO,RELATED_TO
SPECIFICATION,SPECIFICATION,PROCEDURES,PROCEDURES,ESTABLISHED,ESTABLISHED
AUTHORITIES,AUTHORITIES,SYSTEM,SPECIFICATION,EVALUATE,MONITORS
SPECIFICATION,SPECIFICATION,SPECIFICATION,SPECIFICATION,RELATED_TO,RELATED_TO
AUTHORITIES,AUTHORITIES,DOCUMENTS,DOCUMENTS,MANAGES,MANAGES
AUTHORITIES,AUTHORITIES,ACTIVITIES,ACTIVITIES,CARRY_OUT,CARRY_OUT
SYSTEM,SYSTEM,REQUIREMENTS,REQUIREMENTS,COMPLY_WITH,COMPLY_WITH
SPECIFICATION,SPECIFICATION,SPECIFICATION,SPECIFICATION,GENERATES,GENERATES
ACTIVITIES,ACTIVITIES,DOCUMENTS,DOCUMENTS,GENERATES,GENERATES
SYSTEM,SYSTEM,EQUIPMENT,EQUIPMENT,CARRY_OUT,CARRY_OUT
PROCEDURES,PROCEDURES,PROCEDURES,PROCEDURES,REQUIRED,REQUIRED
AUTHORITIES,AUTHORITIES,DOCUMENTS,DOCUMENTS,COMPLY_WITH,COMPLY_WITH
SPECIFICATION,SPECIFICATION,DOCUMENTS,DOCUMENTS,ESTABLISHED,ESTABLISHED
AUTHORITIES,AUTHORITIES,SUBJECT REGULATED,SUBJECT REGULATED,APPLY_TO,APPLY_TO
EQUIPMENTS,EQUIPMENTS,SPECIFICATION,SPECIFICATION,FOLLOW,FOLLOW
PROCEDURES,PROCEDURES,DOCUMENTS,DOCUMENTS,MONITORS,MONITORS
PROCEDURES,PROCEDURES,DOCUMENTS,DOCUMENTS,COMPLY_WITH,COMPLY_WITH
AUTHORITIES,AUTHORITIES,DOCUMENTS,DOCUMENTS,GENERATES,GENERATES
DOCUMENTS,DOCUMENTS,ACTIVITIES,ACTIVITIES,APPLY_TO,APPLY_TO
PROCEDURES,PROCEDURES,SPECIFICATION,SPECIFICATION,REQUIRED,REQUIRED
EQUIPMENT,EQUIPMENT,SPECIFICATION,SPECIFICATION,MONITORS,MONITORS
ACTIVITIES,ACTIVITIES,DOCUMENTS,DOCUMENTS,REQUIRED,REQUIRED
EQUIPMENT,EQUIPMENT,POLLUTANT,POLLUTANT,GENERATES,GENERATES
SYSTEM,SYSTEM,DISPOSAL,DISPOSAL,RESTRICT,RESTRICT
PROCEDURES,PROCEDURES,SPECIFICATION,SPECIFICATION,RELATED_TO,RELATED_TO
SPECIFICATION,SPECIFICATION,SPECIFICATION,SPECIFICATION,REQUIRED,REQUIRED
SPECIFICATION,SPECIFICATION,DOCUMENTS,DOCUMENTS,HAVE,HAVE
EQUIPMENT,EQUIPMENT,PROCEDURES,PROCEDURES,INVOLVE_IN,INVOLVE_IN
DOCUMENTS,DOCUMENTS,DOCUMENTS,DOCUMENTS,APPLY_TO,APPLY_TO
EQUIPMENT,EQUIPMENT,POLLUTANT,POLLUTANT,RESTRICT,RESTRICT
SYSTEM,SYSTEM,PROCEDURES,PROCEDURES,FOLLOW,FOLLOW
POLLUTANT,POLLUTANT,DOCUMENTS,DOCUMENTS,REGULATES,REGULATES
SPECIFICATION,SPECIFICATION,DOCUMENTS,DOCUMENTS,ESTABLISHED,ESTABLISHED
AUTHORITIES,AUTHORITIES,DOCUMENTS,DOCUMENTS,MANAGES,MANAGES
EQUIPMENTS,EQUIPMENTS,DOCUMENTS,DOCUMENTS,OF,OF
